variant,sdm26_wot_rmse,sdm26_wot_bias,sdm26_sag_rmse,sdm26_sag_bias,sdm26_tq_rmse,sdm25_wot_rmse,sdm25_wot_bias,sdm25_high_rmse,sdm25_high_bias,sdm25_tq_rmse
base,2.564,1.037,4.3,4.018,2.435,4.539,-0.1,3.075,-2.41,6.439
ewt1000,2.928,1.402,5.043,4.951,2.715,4.574,-0.132,3.198,-2.442,6.458
ewt850,2.72,1.262,4.604,4.47,2.553,4.562,-0.105,3.118,-2.339,6.463
kc,2.502,0.992,4.208,3.946,2.373,4.524,-0.107,3.079,-2.413,6.411
kc_lim09,2.445,0.936,4.126,3.878,2.316,4.491,-0.126,3.078,-2.413,6.356
kc_oct93,2.469,0.964,4.15,3.9,2.344,4.506,-0.117,3.08,-2.412,6.382
twall500,2.47,0.69,4.065,3.74,2.369,4.535,-0.498,3.302,-2.629,6.305
wosc1_32,2.329,0.303,3.509,3.156,2.265,4.723,-0.799,3.785,-3.318,6.433
wosc2_50,2.332,0.003,3.324,2.941,2.324,4.705,-1.106,3.953,-3.483,6.286
