engine,n_cyl,best_afr,peak_hp_kw,avg_bsfc,co2_per_kwh
Honda CRF450R '20  (449cc 1),1,16.5,16.92,231.76,737.00
KTM 690 Duke '18  (693cc 1),1,15.5,17.94,239.02,760.08
Triumph Daytona 675R '11  (675cc 3),3,16.5,36.87,242.91,772.46
Yamaha YZF-R6 '09  (599cc 4),4,16.5,40.74,244.91,778.81
Suzuki GSX-R600 '06  (599cc 4),4,16.5,39.64,245.47,780.60
SDM26 baseline  (599cc 4),4,16.5,40.31,248.63,790.64
Kawasaki ZX-6R 636 '03-'04  (636cc 4),4,15.5,41.15,249.60,793.73
Yamaha YZ450F '24  (449cc 1),1,15.5,14.08,252.78,803.82
