engine,peak_hp,peak_hp_rpm,peak_tq_nm,peak_tq_rpm,auc_hp_rpm
Yamaha YZF-R6 '09  (599cc 4),65.02,11500,53.64,4500,661013.73
Kawasaki ZX-6R 636 '03-'04  (636cc 4),64.70,11250,56.79,4000,668257.57
SDM26 baseline  (599cc 4),64.27,11500,53.33,4500,654081.62
Suzuki GSX-R600 '06  (599cc 4),63.52,11500,53.39,4500,624512.77
Triumph Daytona 675R '11  (675cc 3),60.11,7750,59.15,3500,514233.94
Honda CRF450R '20  (449cc 1),26.58,6250,37.28,2000,180160.42
KTM 690 Duke '18  (693cc 1),26.41,5000,53.62,2000,141174.22
Yamaha YZ450F '24  (449cc 1),20.59,5750,36.96,2000,146804.16
