rpm,sdm26_char_kW,sdm26_stag_kW,sdm25_char_kW,sdm25_stag_kW,fsae_restricted_kW,stock_unrestricted_kW
6000,35.02407979233178,31.74153431520205,35.52939411847598,33.16124210755023,18.5,32.0
7000,43.106631053170275,34.583621320243786,39.769738118530064,36.326538257708386,24.5,40.0
8000,53.47003815235868,36.5090478187346,40.668707909120656,38.587248667557084,30.5,49.0
9000,52.748159573757015,37.6260381788273,47.92981652785634,40.009252692355446,36.0,57.0
10000,51.138708773206744,37.72273537777407,56.68889922673918,40.494033124371654,41.0,64.0
11000,56.323690161796385,37.43658593417426,60.127286723642044,40.13123478346788,44.5,72.0
12000,54.35672735060493,36.334974000609016,43.52706923644501,38.96485382791727,48.0,80.0
13000,41.03752120933508,34.33172626822027,48.12181632184021,36.90595387486936,50.5,86.0
